,년도,리그,소속,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,차단된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격지역패스시도,공격지역패스성공,공격지역패스성공%,수비지역패스시도,수비지역패스성공,수비지역패스성공%,중앙지역패스시도,중앙지역패스성공,중앙지역패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,숏패스시도,숏패스성공,숏패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
0,2021,K리그1,울산,조현우,GK,21,3657,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0.0,"1,104",867,78.5,1,672,438,0.0,0,0,0.0,432,429,99.3,0,0,0.0,"1,095",861,78.6,9,6,66.7,425,195,45.9,426,420,98.6,253,252,99.6,0,0,0.0,0,0,0,0.0,0,0,0.0,1,1,100.0,12,9,6,164,0,2,0,4,2,0
1,2021,K리그1,울산,김기희,DF,44,3405,1,1,11,5,0,6,10,1,2,57,0,4,1,1,100.0,"2,224","1,951",87.7,2,"1,055",811,0.0,148,146,98.6,"1,021",994,97.4,39,22,56.4,963,821,85.3,"1,222","1,108",90.7,350,223,63.7,"1,103","1,024",92.8,771,704,91.3,7,0,0.0,1,113,62,54.9,226,141,124.8,10,3,30.0,98,86,142,307,16,3,33,7,5,0
2,2021,K리그1,울산,김태현,DF,15,89,0,0,1,0,0,1,0,1,0,2,0,4,0,0,0.0,90,82,91.1,0,44,36,0.0,14,14,100.0,32,32,100.0,0,0,0.0,31,31,100.0,59,51,86.4,9,6,66.7,38,36,94.7,43,40,93.0,0,0,0.0,0,2,2,100.0,7,5,250.0,0,0,0.0,0,1,5,5,0,0,3,2,0,1
3,2021,K리그1,울산,김태환,DF,23,3129,0,6,7,0,5,2,2,5,0,27,1,260,30,16,53.3,"1,957","1,555",79.5,34,706,457,0.0,541,532,98.3,710,566,79.7,687,486,70.7,352,278,79.0,918,791,86.2,236,131,55.5,604,468,77.5,"1,117",956,85.6,165,32,19.4,8,194,114,58.8,36,16,8.2,15,8,53.3,32,36,100,265,4,17,48,24,9,0
4,2021,K리그1,울산,배재우,DF,2,73,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0,49,40,81.6,0,23,15,0.0,10,10,100.0,16,15,93.8,7,6,85.7,10,5,50.0,32,29,90.6,3,0,0.0,19,15,78.9,27,25,92.6,1,0,0.0,0,3,1,33.3,0,0,0.0,0,0,0.0,1,0,2,7,0,0,2,2,0,0
5,2021,K리그1,울산,불투이스,DF,4,2745,3,0,21,7,3,11,19,2,4,59,0,5,6,4,66.7,"1,830","1,600",87.4,1,"1,004",792,0.0,139,139,100.0,687,669,97.4,34,17,50.0,781,690,88.3,"1,015",893,88.0,291,180,61.9,893,824,92.3,646,596,92.3,15,2,13.3,1,106,77,72.6,194,121,114.2,42,31,73.8,73,56,141,209,26,0,29,13,4,0
6,2021,K리그1,울산,설영우,DF,66,2085,2,3,24,6,9,9,10,14,3,20,0,147,9,6,66.7,"1,522","1,285",84.4,13,525,369,0.0,489,481,98.4,508,435,85.6,382,296,77.5,291,221,75.9,849,768,90.5,148,97,65.5,512,422,82.4,862,766,88.9,50,5,10.0,9,157,103,65.6,65,34,21.7,20,14,70.0,35,48,105,179,5,5,24,47,3,0
7,2021,K리그1,울산,이명재,DF,27,99,0,0,0,0,0,0,0,0,0,0,2,14,1,0,0.0,90,73,81.1,1,32,21,0.0,33,33,100.0,25,19,76.0,28,19,67.9,12,11,91.7,50,43,86.0,9,5,55.6,44,37,84.1,37,31,83.8,7,0,0.0,0,2,0,0.0,1,1,50.0,1,0,0.0,1,0,1,10,0,1,0,1,0,0
8,2021,K리그1,울산,임종은,DF,36,950,1,0,7,3,0,4,6,1,0,16,0,1,0,0,0.0,673,600,89.2,0,339,270,0.0,49,49,100.0,285,281,98.6,10,4,40.0,256,227,88.7,407,369,90.7,81,55,67.9,346,318,91.9,246,227,92.3,0,0,0.0,2,27,18,66.7,76,49,181.5,8,4,50.0,27,31,43,85,6,1,3,5,1,0
9,2021,K리그1,울산,홍철,DF,33,1581,1,1,9,2,2,5,2,7,1,26,16,145,5,3,60.0,"1,225",990,80.8,16,488,316,0.0,364,360,98.9,373,314,84.2,320,229,71.6,240,179,74.6,665,582,87.5,164,85,51.8,419,320,76.4,642,585,91.1,86,16,18.6,2,98,51,52.0,43,21,21.4,7,2,28.6,29,30,67,144,4,8,8,20,3,0
