,년도,리그,소속,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,차단된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격지역패스시도,공격지역패스성공,공격지역패스성공%,수비지역패스시도,수비지역패스성공,수비지역패스성공%,중앙지역패스시도,중앙지역패스성공,중앙지역패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,숏패스시도,숏패스성공,숏패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
0,2023,K리그2,부산,구상민,GK,1,3070,0,1,0,0,0,0,0,0,0,88,0,0,0,0,0.0,"1,214",890,73.3,2,876,552,0.0,3,3,100.0,335,335,100.0,6,6,100.0,"1,190",870,73.1,18,14,77.8,502,184,36.7,343,339,98.8,369,367,99.5,0,0,0.0,3,2,2,100.0,0,0,0.0,0,0,0.0,35,151,3,120,3,0,0,7,2,0
1,2023,K리그2,부산,김상준,DF,33,873,1,1,12,6,2,4,3,9,0,7,0,3,1,0,0.0,553,500,90.4,5,218,173,0.0,91,90,98.9,244,237,97.1,60,49,81.7,96,85,88.5,397,366,92.2,58,39,67.2,216,204,94.4,279,257,92.1,0,0,0.0,3,10,4,40.0,41,28,280.0,20,6,30.0,69,29,22,49,18,7,4,6,3,0
2,2023,K리그2,부산,민상기,DF,39,781,0,0,0,0,0,0,0,0,1,14,0,1,1,0,0.0,466,436,93.6,0,208,183,0.0,47,46,97.9,211,207,98.1,5,3,60.0,164,150,91.5,297,283,95.3,38,29,76.3,210,198,94.3,218,209,95.9,2,0,0.0,1,18,13,72.2,41,28,155.6,13,5,38.5,74,32,18,29,16,2,5,5,0,0
3,2023,K리그2,부산,어정원,DF,2,663,0,0,3,1,1,1,0,3,1,1,0,49,6,3,50.0,312,258,82.7,4,110,71,0.0,107,104,97.2,95,83,87.4,79,65,82.3,63,51,81.0,170,142,83.5,27,12,44.4,91,69,75.8,194,177,91.2,19,6,31.6,1,11,6,54.5,10,4,36.4,17,5,29.4,22,35,12,35,11,1,8,9,2,0
4,2023,K리그2,부산,이한도,DF,20,2970,2,0,8,2,0,6,6,2,0,49,0,6,2,1,50.0,"1,566","1,449",92.5,1,690,581,0.0,190,190,100.0,686,678,98.8,36,23,63.9,642,592,92.2,888,834,93.9,119,67,56.3,680,643,94.6,767,739,96.3,1,0,0.0,0,40,24,60.0,181,129,322.5,33,8,24.2,254,103,59,92,56,10,22,18,4,0
5,2023,K리그2,부산,조위제,DF,5,2490,1,0,6,1,0,5,5,1,0,35,0,5,6,1,16.7,"1,611","1,408",87.4,2,861,673,0.0,177,174,98.3,573,561,97.9,39,30,76.9,657,585,89.0,915,793,86.7,194,93,47.9,751,695,92.5,666,620,93.1,3,0,0.0,2,42,27,64.3,172,107,254.8,46,22,47.8,283,129,72,89,62,10,30,15,5,0
6,2023,K리그2,부산,최준,DF,6,1514,0,3,10,2,1,7,2,8,1,15,0,169,8,5,62.5,764,616,80.6,14,316,197,0.0,225,220,97.8,223,199,89.2,207,169,81.6,150,111,74.0,407,336,82.6,72,33,45.8,238,188,79.0,454,395,87.0,54,10,18.5,4,22,15,68.2,48,25,113.6,48,18,37.5,76,57,39,92,44,9,12,19,2,0
7,2023,K리그2,부산,최지묵,DF,26,1049,1,0,3,1,1,1,2,1,0,5,0,98,1,0,0.0,426,335,78.6,2,200,122,0.0,122,119,97.5,104,94,90.4,96,78,81.2,85,64,75.3,245,193,78.8,30,13,43.3,145,110,75.9,251,212,84.5,14,4,28.6,0,9,4,44.4,21,15,166.7,16,3,18.8,33,34,16,45,31,6,15,9,1,0
8,2023,K리그2,부산,강상윤,MF,55,257,0,0,2,2,0,0,1,1,0,0,0,1,2,0,0.0,94,68,72.3,3,35,18,0.0,37,33,89.2,22,17,77.3,43,29,67.4,9,4,44.4,42,35,83.3,5,1,20.0,22,16,72.7,67,51,76.1,3,0,0.0,1,4,2,50.0,6,0,0.0,7,6,85.7,1,2,7,18,4,1,5,2,1,0
9,2023,K리그2,부산,권혁규,MF,42,1782,1,0,14,2,5,7,3,11,0,14,0,2,6,2,33.3,952,839,88.1,8,334,238,0.0,207,202,97.6,411,399,97.1,113,96,85.0,206,187,90.8,633,556,87.8,86,60,69.8,362,331,91.4,504,448,88.9,10,2,20.0,11,11,6,54.5,55,30,272.7,52,17,32.7,36,53,37,131,49,11,22,11,4,0
10,2023,K리그2,부산,김상준,MF,33,521,0,0,2,0,0,2,0,2,0,2,0,1,1,0,0.0,232,200,86.2,0,98,71,0.0,38,38,100.0,96,91,94.8,22,14,63.6,68,58,85.3,142,128,90.1,27,16,59.3,85,78,91.8,120,106,88.3,2,1,50.0,0,1,0,0.0,32,17,1700.0,13,2,15.4,39,18,9,21,20,3,4,5,0,0
11,2023,K리그2,부산,김정환,MF,11,310,1,1,7,5,1,1,4,3,1,1,0,9,3,1,33.3,99,87,87.9,5,26,17,0.0,47,47,100.0,26,23,88.5,40,39,97.5,7,3,42.9,52,45,86.5,8,6,75.0,34,28,82.4,57,53,93.0,11,4,36.4,1,6,2,33.3,13,3,50.0,9,2,22.2,6,5,10,14,7,3,3,4,0,0
12,2023,K리그2,부산,라마스,MF,10,657,4,1,21,9,5,7,5,16,1,15,14,1,4,3,75.0,339,270,79.6,7,151,98,0.0,89,84,94.4,99,88,88.9,78,66,84.6,31,26,83.9,230,178,77.4,40,19,47.5,94,76,80.9,205,175,85.4,22,5,22.7,4,5,2,40.0,19,9,180.0,12,5,41.7,5,16,8,56,7,8,4,5,1,0
13,2023,K리그2,부산,민상기,MF,39,104,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,95,91,95.8,0,39,35,0.0,2,2,100.0,54,54,100.0,1,0,0.0,41,39,95.1,53,52,98.1,11,9,81.8,37,35,94.6,47,47,100.0,0,0,0.0,0,2,0,0.0,14,8,400.0,5,1,20.0,8,4,2,3,4,0,2,1,0,0
14,2023,K리그2,부산,박세진,MF,66,316,0,1,1,0,0,1,0,1,0,1,0,25,0,0,0.0,107,85,79.4,2,44,24,0.0,39,39,100.0,24,22,91.7,28,25,89.3,17,11,64.7,62,49,79.0,11,7,63.6,31,21,67.7,65,57,87.7,13,3,23.1,1,6,1,16.7,7,3,50.0,4,1,25.0,21,9,3,13,7,2,4,3,0,0
15,2023,K리그2,부산,박종우,MF,8,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50,40,80.0,0,12,6,0.0,15,13,86.7,23,21,91.3,5,3,60.0,8,6,75.0,37,31,83.8,5,2,40.0,16,15,93.8,29,23,79.3,0,0,0.0,0,0,0,0.0,1,0,0.0,3,1,33.3,3,5,1,5,1,0,4,1,0,0
16,2023,K리그2,부산,성호영,MF,23,125,0,0,2,0,0,2,0,2,0,0,1,0,2,1,50.0,35,29,82.9,1,7,5,0.0,15,14,93.3,13,10,76.9,9,7,77.8,3,2,66.7,23,20,87.0,3,2,66.7,7,7,100.0,25,20,80.0,1,1,100.0,0,2,1,50.0,2,2,100.0,7,0,0.0,1,5,2,9,5,2,3,1,0,0
17,2023,K리그2,부산,어정원,MF,2,738,0,1,4,2,0,2,3,1,0,2,0,71,6,3,50.0,371,303,81.7,6,124,84,0.0,136,133,97.8,111,86,77.5,102,73,71.6,66,53,80.3,203,177,87.2,32,15,46.9,134,103,76.9,205,185,90.2,35,10,28.6,3,17,8,47.1,15,6,35.3,18,10,55.6,19,21,22,35,20,4,7,10,2,0
